discussion_number,discussion_title,discussion_url,discussion_created_at,approved_at,planned_at,milestone_number,milestone_title,issue_numbers,issue_count,open_issue_count,closed_issue_count,pr_numbers,open_pr_count,merged_pr_count,first_pr_opened_at,last_pr_merged_at,latest_activity_at,status
42,[idea] Surface agent-running status in sidebar workspace rows,https://github.com/fairchild/workspaces/discussions/42,2026-03-11T02:03:10Z,,,,,,0,0,0,,0,0,,,2026-03-11T02:30:35Z,idea
43,[task] [idea][endorsed] Isolate intrusive CI jobs onto a Tart VM runner lane,https://github.com/fairchild/workspaces/discussions/43,2026-03-11T02:32:39Z,2026-03-12T01:08:40Z,2026-03-12T03:31:57Z,4,Isolate intrusive CI jobs onto a Tart VM runner lane,"61,62,63",3,3,0,71,1,0,2026-03-12T05:02:14Z,,2026-03-12T05:08:42Z,active
44,[idea] Navigate from Activity tab events directly to the relevant repo/workspace,https://github.com/fairchild/workspaces/discussions/44,2026-03-11T03:25:12Z,,,,,,0,0,0,,0,0,,,2026-03-12T01:12:46Z,idea
52,[idea] Migrate NotificationCoordinator to @Environment DI,https://github.com/fairchild/workspaces/discussions/52,2026-03-11T14:25:40Z,,,,,,0,0,0,,0,0,,,2026-03-11T14:25:40Z,idea
